Year,gwl_min(m),gwl_max(m),gwsa_min(m),gwsa_max(m),gwl_min_uncer(m),gwl_max_uncer(m),gwsa_min_uncer(m),gwsa_max_uncer(m),recharge(m),gwlc(m),annual_sy,recharge_uncer(m),gwlc_uncer(m),annual_sy_uncer(m),Mascon_Number
2004,7.1757032,7.601220387,-0.07595231706184365,-0.008903787018615454,4.7145448,4.7145448,0.02216854218079599,0.021742934090926504,0.0670485300432282,0.42551718699999963,0.15756949916861585,0.03105156107676561,6.667373196575551,2.4700140881086403,27
2005,7.263810065,7.556975226,-0.10341197021561752,0.02078567676842495,4.686421265,4.686421265,0.02073993473184672,0.022850337046401378,0.12419764698404247,0.29316516099999923,0.4236439505990372,0.030859079633317084,6.627600511956676,9.577919936777896,27
2006,7.517351226,7.721567226,-0.135268677402524,0.010254047231955924,5.039032258,5.039032258,0.0232625011430832,0.022157295546473225,0.1455227246344799,0.20421600000000062,0.7125921800176258,0.03212615298111041,7.126267760499121,24.86692668063848,27
2007,6.858983226,7.463863742,-0.047619166913663004,0.06608722439774889,4.958653549,4.958653549,0.02318183243882072,0.02202967260834506,0.11370639131141189,0.6048805159999997,0.18798157372192814,0.03197974093785672,7.012595100105281,2.1799784854558126,27
2008,5.588762,6.32587,0.001256867440451531,0.1304232854944366,3.761188206999999,3.761188206999999,0.02327333698450516,0.023167877027178613,0.12916641805398507,0.7371080000000001,0.17523404718709476,0.03283898202351599,5.319123372977143,1.265309588319922,27
2009,5.2335176,5.614924,0.05801233060845659,0.14898562320727884,3.865372,3.865372,0.02204844637473194,0.023129888400019904,0.09097329259882225,0.38140640000000037,0.23852062419199616,0.03195505789287207,5.466461506017215,3.41959476450532,27
2010,4.932106452,5.543820387,0.11660826873743135,0.2303447500897209,3.185110839,3.185110839,0.023511530309464998,0.02199988549042496,0.11373648135228956,0.611713935,0.18593083277118666,0.0321991773044701,4.5044269461753474,1.3701348707486134,27
2011,4.664374065,5.203444,0.0834878895518727,0.2380169003368826,2.9753814910000003,2.9753814910000003,0.022384006095474206,0.027057356109184753,0.1545290107850099,0.5390699350000006,0.2866585590328085,0.03511615366895218,4.207824857806081,2.2385222937383062,27
2012,5.3193696,6.180360774,-0.06192814140735556,0.16881910292315278,3.5558984,3.5558984,0.024461340800997444,0.020401199387684962,0.23074724433050833,0.8609911740000005,0.2680018695876994,0.03185225471200774,5.028799743700788,1.5657583027913673,27
2013,6.319429286,6.612046065,-0.03783337902909312,0.11195133509518383,3.729340486,3.729340486,0.021873642654584743,0.0231290011212664,0.14978471412427696,0.29261677900000027,0.5118801274354702,0.03183405308546198,5.274083894008269,9.226697209115894,27
2014,6.5916048,6.771574452,0.02295989682404649,0.08725106852307543,4.1086532,4.1086532,0.019666664113688673,0.022219599529594358,0.06429117169902894,0.17996965200000048,0.3572334056579093,0.029673022775177447,5.810513078527617,11.534841764157546,27
2015,6.308671742,6.5620392,0.019600911583805797,0.14363193549561024,4.001335742,4.001335742,0.023535272329201187,0.02367432324881885,0.12403102391180444,0.2533674580000005,0.4895302060132924,0.03338236997127717,5.658743273944612,10.934028064229901,27
2016,6.1375036,6.490666839,0.10488929683132123,0.23319462961611787,4.457445999999999,4.457445999999999,0.04189522793912936,0.022966658206957726,0.12830533278479664,0.3531632390000006,0.3633031941492541,0.04777737449114197,6.3037805867457015,6.4861845074762465,27
2017,6.2630304,6.388804645,0.13029004619722276,0.19896095165208333,4.2391584,4.2391584,0.04264208485898991,0.039662331438191555,0.06867090545486057,0.12577424499999967,0.5459854317142651,0.05823613943449767,5.99507530232783,26.02871355256332,27
2018,5.9677808,6.13906529,0.1652961021120366,0.2015165462993767,4.3314112,4.3314112,0.02644068505597198,0.0212545933032923,0.036220444187340106,0.17128448999999968,0.21146365434103329,0.033924439018463634,6.125540463254723,7.565035996631781,27
2019,4.67828671,5.727486968,0.2291903274565581,0.36097937068795305,3.569404645,3.569404645,0.021093916788624326,0.02083321762765249,0.13178904323139495,1.049200258,0.12560904577226567,0.029647534167389668,5.047900458556523,0.6049890930704861,27
2020,4.11734,4.633830857,0.1167154824841736,0.33360868643413594,2.7312112000000006,2.7312112000000006,0.021077152824583886,0.021125197808503696,0.21689320394996234,0.516490857,0.4199361925006203,0.029841587652792097,3.8625159207452966,3.1409747052505246,27
2021,4.404605806499999,5.611466323,0.09685887408112481,0.250942861583858,3.0345298064999997,3.0345298064999997,0.02082264163361047,0.020774523720462096,0.15408398750273317,1.2068605165000008,0.12767340168654284,0.02941365737907835,4.291473207777703,0.4546473463146095,27
2022,5.002357935,6.403553032,-0.04482109145103701,0.18946800070694825,2.648220387,2.648220387,0.02135938347284289,0.020902467412996135,0.23428909215798527,1.4011950969999996,0.1672066171653078,0.02988538783906475,3.7451491874483263,0.4474226654324093,27
